Hora de inicio de la toma de datos: 10:31:24
AT(s)	F1.1	F1.2	F2.1	F2.2	F3.1	F3.2	F4.1	F4.2	F5.1	F5.2	ABD1	ABD2	ABD3	ABD4	PA	TCO	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	HRoll	HPitch	HYaw	WRoll	WPitch	WYaw	
0.01	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.02	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.03	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.04	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.05	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.06	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.07	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.08	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.09	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.1	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.11	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.12	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.13	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.14	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
0.15	0.8	0	0.2	10.5	1.3	0	2.2	0	0	6.1	60.1	62.2	32	47.1	29.6	26.6	100	98.5	99.9	93.6	99.9	89.4	99.9	99.5	99.4	95.4	-17.2824	-64.0687	-32.4155	-17.2253	4.31775	34.2605	
